Task #,Failure Reason,Semantic?,Category,Notes,LLM Eval,Resolved?,
283,Agent,No,Agent didn’t navigate to product page,"The intent says ""Look up the most recent models of XBox controllers released between 2020-2021?"" — that reads as an information retrieval question, not a navigation task. ""Look up"" doesn't imply ""navigate to the product page."" The agent reasonably interpreted it as a lookup and reported the results via send_msg_to_user.","url_match eval — agent needed to navigate to the specific Xbox controller product page Agent found 8 Xbox controllers via MCP, reported them via send_msg_to_user, but ended on the homepage (http://localhost:7770/) Never called goto() to navigate to any product page",No,
284,Agent,Yes,MCP Search Under-matching,,"There are even cheaper shoe storage options in the DB ($1.36, $1.99, etc.) but those likely don't meet the 12-pair minimum. The agent picked a product that meets capacity but isn't the cheapest qualifying option.",No,
286,Agent,No,Ground truth / reference answer error,,"The task asks for ""the least expensive SSD hard drive with a minimum storage capacity of 1TB"" Agent found: SK Hynix Gold S31 1TB SSD at $97.99 — a genuine SSD Expected answer: ""External Hard Drive 2TB"" at $32.17 — this is not an SSD, it's a generic external hard drive. The product name contains no mention of ""SSD"" The agent found a more correct answer to the question than the benchmark expects. This is a ground truth error — the reference product doesn't match the task's ""SSD"" requirement.",No,
302,Agent,Yes,Agent reasoning failure,We could likely modify the prompt to clarify impossible questions,"The MCP list_orders returns statuses like canceled, complete, pending — no ""out for delivery"" status exists in the Magento data Expected answer is N/A (fuzzy_match) — meaning this is an ""unachievable"" task, the agent should have reported that no such order exists Agent kept searching but never sent a definitive answer via send_msg_to_user",No,
319,Agent,No,Strict benchmark eval,,"Agent said ""No cancelled orders found in April 2022"" — correct reasoning, but didn't include the literal 0 that the must_include requires",,
320,Agent,No,Agent reasoning failure,Prompt mismatch?,MCP correctly returned 2 cancelled orders from Feb 2023 Agent reported each order individually ($231.54 and $174.99) but never computed the total refund Expected: 231.54 + 174.99 = 406.53,No,
321,Agent,No,Agent reasoning failure,Prompt mismatch?,MCP correctly returned all 6 cancelled orders from 2022 Agent listed each one separately but never summed them Expected: 2126.32 + 77.66 + 354.66 + 173.56 + 206.59 + 115.18 = 3053.97,No,
323,Agent,No,Agent reasoning failure,Prompt mismatch?,"The agent treated ""How much refund should I expect"" as per-order rather than aggregate. The MCP data was complete and correct — this is purely an agent reasoning pattern where it fails to aggregate across multiple results when the question implies a single total answer.",No,
324,Agent,No,URL Mismatch,,"Agent navigated to category page instead of search results. Expected: catalogsearch/result/index/?product_list_order=price&q=chairs&product_list_dir=asc Agent: office-products/office-furniture-lighting/chairs-sofas.html?product_list_order=price&product_list_dir=asc Functionally similar but the eval expects a search results page, not a category page",,
325,Agent,No,Ground truth / reference answer error,,Agent URL: ?q=mouth%20night%20guard&product_list_order=price Expected: ?q=mouth%20night%20guard%20&product_list_order=price — has a trailing %20 (space) in the query,No,
330,Agent,No,Ground truth / reference answer error,,"DB shows two complete orders in March 2023: $17.99 + $65.32 = $83.31 Agent answered $83.31 Benchmark expects $81.31 — off by exactly $2.00 with no explanation Task 332 (which also covers March 2023) expects $83.31 for the same month, confirming the agent is correct and task 330's ground truth is wrong",No,
331,Agent,No,Agent reasoning failure,,"July 2022 has one complete order ($40.16) and one cancelled order ($354.66) Agent summed both = $394.82 Expected: $40.16 — only the complete order counts as ""spending"" Agent should have filtered out cancelled orders when computing ""how much I spent""",,
332,Agent,No,agent reasoning failure + ground truth error,,"Agent included cancelled orders in Feb total ($1,354.03), should have excluded them Even with correct exclusion (complete only: $185.32 + $762.18 = $947.50), the benchmark still expects only $762.18 for Feb — which is a ground truth error (misses order #157) Jan and March figures are correct from the agent",,
333,Agent,No,Agent reasoning failure,,"Three orders in Nov 2022: $51.94 + $133.07 + $218.17 = $403.18 Task says ""20% discount for orders exceeding $200"" — only order $218.17 qualifies Expected: $51.94 + $133.07 + ($218.17 × 0.8) = $359.546 Agent applied 20% to the entire total ($403.18 × 0.8 = $322.54) instead of only the qualifying order",,
335,Pipeline,No,URL Mismatch,Magento URLs reformat for SEO,"Agent navigated to the correct category page but used /catalog/category/view/id/187. Now list_categories() returns ""url"": ""http://localhost:7770/office-products/office-furniture-lighting/cabinets-racks-shelves.html"" and the prompt tells the agent to use it. Same page, correct URL.",Yes,
362,Agent,No,Strict benchmark eval,,"Agent answered US but evaluator must_include expects United States The DB stores country_id = 'US' (ISO code), not the full country name The MCP get_order_details returns the raw country_id field. The agent faithfully reported it, but the benchmark expects the human-readable expansion",No,
368,Agent,No,Strict benchmark eval,,"The evaluator's actual reason: ""There is no function to show only discount items"" Agent should have reported something like ""I cannot find a way to filter for discounted items"" via send_msg_to_user Instead, agent searched for ""sale"", landed on generic results, and said ""Done"" — the LLM evaluator compared ""done"" against the reference reason and it didn't match",No,
376,Agent,Yes,Logic/Semantic Interpretation,"Identified wrong product, semantic search may improve","Agent searched ""Echo Dot"" and filtered for ""3rd"" in name, but matched a JUYOON charger accessory that mentions ""Echo Dot (3rd Gen)"" in its description rather than the actual Echo Dot device. The task is unachievable (no reviews exist), but agent reported on the wrong product instead of saying ""no review for this product.",,
385,Agent,Yes,Incomplete product coverage + keyword matching,Semantic search may help,"Agent searched EYZUTAK and found 2 products but only retrieved reviews for 1 product (entity_id 38560). The 8 expected reviewers mentioning ""good looking"" are likely spread across both products. Additionally, naive keyword matching for ""good looking"" sentiment may have missed indirect phrasing.",,
386,Agent,No,Logic/Understanding,,"Agent correctly found the Ugreen lightning cable and its 12 reviews via MCP, but divided the 1-5 star rating by 100 then multiplied by 5, treating it as a percentage. This turned a ~3.1 average into 0.16, yielding answer ""0"" instead of expected ""3""",,
436,Agent,No,Agent Navigation Failure,"If step count were extended, the agent could likely complete","MCP research succeeds — correct product found Add to cart succeeds — success alert appears Navigate to cart succeeds — agent reaches /checkout/cart/ Agent cannot find ""Proceed to Checkout"" button — wastes remaining steps scrolling up/down Truncated at step 10 — never reaches checkout",-,
437,Agent,No,Agent Navigation Failure,"If step count were extended, the agent could likely complete","MCP research succeeds — correct product found Add to cart succeeds — success alert appears Navigate to cart succeeds — agent reaches /checkout/cart/ Agent cannot find ""Proceed to Checkout"" button — wastes remaining steps scrolling up/down Truncated at step 10 — never reaches checkout",-,
438,Agent,No,Agent Navigation Failure,"If step count were extended, the agent could likely complete","MCP research succeeds — correct product found Add to cart succeeds — success alert appears Navigate to cart succeeds — agent reaches /checkout/cart/ Agent cannot find ""Proceed to Checkout"" button — wastes remaining steps scrolling up/down Truncated at step 10 — never reaches checkout",-,
439,Agent,No,Agent Navigation Failure,"If step count were extended, the agent could likely complete","MCP research succeeds — correct product found Add to cart succeeds — success alert appears Navigate to cart succeeds — agent reaches /checkout/cart/ Agent cannot find ""Proceed to Checkout"" button — wastes remaining steps scrolling up/down Truncated at step 10 — never reaches checkout",-,
440,Agent,No,Agent Navigation Failure,"If step count were extended, the agent could likely complete","MCP research succeeds — correct product found Add to cart succeeds — success alert appears Navigate to cart succeeds — agent reaches /checkout/cart/ Agent cannot find ""Proceed to Checkout"" button — wastes remaining steps scrolling up/down Truncated at step 10 — never reaches checkout",-,
469,Agent,,Wishlist pagination / evaluation issue,,Agent successfully added product to wishlist (confirmed by success message + screenshots). Evaluation failed because the evaluator checks .products-grid.wishlist outerText which only renders page 1 of a paginated wishlist. Likely a false negative.,,
506,Agent,No,Agent Navigation Failure,"If step count were extended, the agent could likely complete","MCP research succeeds — correct product found Add to cart succeeds — success alert appears Navigate to cart succeeds — agent reaches /checkout/cart/ Agent cannot find ""Proceed to Checkout"" button — wastes remaining steps scrolling up/down Truncated at step 10 — never reaches checkout",-,
507,Agent,No,Agent Navigation Failure,"If step count were extended, the agent could likely complete","MCP research succeeds — correct product found Add to cart succeeds — success alert appears Navigate to cart succeeds — agent reaches /checkout/cart/ Agent cannot find ""Proceed to Checkout"" button — wastes remaining steps scrolling up/down Truncated at step 10 — never reaches checkout",-,
508,Agent,No,Agent Navigation Failure,"If step count were extended, the agent could likely complete","MCP research succeeds — correct product found Add to cart succeeds — success alert appears Navigate to cart succeeds — agent reaches /checkout/cart/ Agent cannot find ""Proceed to Checkout"" button — wastes remaining steps scrolling up/down Truncated at step 10 — never reaches checkout",-,
509,Agent,No,Agent Navigation Failure,"If step count were extended, the agent could likely complete","MCP research succeeds — correct product found Add to cart succeeds — success alert appears Navigate to cart succeeds — agent reaches /checkout/cart/ Agent cannot find ""Proceed to Checkout"" button — wastes remaining steps scrolling up/down Truncated at step 10 — never reaches checkout",-,
510,Agent,No,Agent Navigation Failure,"If step count were extended, the agent could likely complete","MCP research succeeds — correct product found Add to cart succeeds — success alert appears Navigate to cart succeeds — agent reaches /checkout/cart/ Agent cannot find ""Proceed to Checkout"" button — wastes remaining steps scrolling up/down Truncated at step 10 — never reaches checkout",-,
512,Pipeline,No,Wishlist pagination / evaluation issue,,"Same pattern as 469. Agent added toothpaste to wishlist successfully (success message confirmed), but wishlist has 16 items paginated (items 1-10 shown). New item on page 2 is invisible to the evaluator's DOM text extraction. False negative.",,
513,Pipeline,No,Wishlist pagination / evaluation issue,,"Agent added ""KidKraft Wooden Star Table & Chair Set"" to wishlist successfully. Evaluator checks for ""chair"" in .products-grid.wishlist outerText. Product likely on page 2 or product name truncated in grid display, making ""chair"" absent from extracted text. False negative.",,
514,Pipeline,No,Wishlist pagination / evaluation issue,,"Agent added ""Techni Mobili White Desk"" to wishlist, confirmed by success message. Evaluator checks for ""white"" and ""desk"" in grid text. Same pagination/truncation issue as 512/513. False negative.",,
515,Pipeline,No,Wishlist pagination / evaluation issue,,"Agent added ""EMMA + OLIVER White Computer Desk"" to wishlist. Wishlist shows ""Items 1 to 10 of 17 total"" — new item is on page 2. Evaluator only checks page 1 DOM content for ""white"", ""computer"", ""desk"". False  negative.",,
528,Agent,No,Form Content Mismatch,,"Agent called send_msg_to_user() to terminate — this is fine, but the evaluator may require specific exact phrases like ""it broke after three days of use"" verbatim",-,
529,Agent,No,Form Content Mismatch,,"Agent found wrong order for bluetooth speaker (000000161 might not be correct), or the wording doesn't match must_include",-,
530,Agent,No,Form Content Mismatch,,"Agent says ""kitchen organizer"" broke — but the evaluator must_include might need the exact product name or exact phrasing",-,
531,Agent,No,Form Content Mismatch,,Same product as T528 but different task — content mismatch likely,-,
532,Agent,No,Form Content Mismatch,,"Agent matched a ""Designer Skin for PS3"" ($1.63) instead of an actual PS3 remote controller — wrong product entirely",-,
572,Agent,No,Form field fill failure + triple_click undefined,Likely would pass with more steps? Review triple_click,"Agent correctly navigated to address edit form and filled 4 of 5 fields (street, street2, city, state) but wasted 2 steps on undefined triple_click(). Hit 10-step limit before updating ZIP code (still ""98101"" instead of ""02110""), saving form, or touching shipping address. Task requires updating BOTH billing and shipping.",,
573,Pipeline,No,BrowserGym error,Seems like a root error in the benchmark?,"Agent needed to clear Street Address Line 2 (""Suite 300"") but fill(""1711"", """") triggered a ZeroDivisionError in BrowserGym (likely len("""") = 0 used as divisor). Bug repeated 4 times, consuming all remaining steps. Only 1 of 5 fields updated before truncation.",,
574,,No,Form field fill failure + triple_click undefined,Likely would pass with more steps? Review triple_click,"Agent's fill() for Street Address Line 1 silently failed — address remained ""222 Redwood Rise"" after save. City, state, zip never updated. Agent noticed failure at step 9 but tried triple_click (undefined) to retry. Truncated at 10 steps with only partial progress.",,
585,Pipeline,No,MCP Write Tool — Incomplete DB Write,,"reviews inserted to DB but missing review_store entry, making them invisible to the REST API evaluator.",Yes,
586,Pipeline,No,MCP Write Tool — Incomplete DB Write,,"reviews inserted to DB but missing review_store entry, making them invisible to the REST API evaluator.",Yes,
587,Pipeline,No,MCP Write Tool — Incomplete DB Write,,"reviews inserted to DB but missing review_store entry, making them invisible to the REST API evaluator.",Yes,
588,Pipeline,No,MCP Write Tool — Incomplete DB Write,,"reviews inserted to DB but missing review_store entry, making them invisible to the REST API evaluator.",Yes,
589,Agent,No,MCP Write Tool — Incomplete DB Write/Wrong Item Categorization,,"Wrong size extracted from selected_options (MCP data is correct, agent reasoning failure)",-,
653,Agent,No,Form Content Mismatch,,These have url_match AND program_html — agent might pass one but fail the other,-,
654,Agent,No,Form Content Mismatch,,These have url_match AND program_html — agent might pass one but fail the other,-,
655,Agent,No,Form Content Mismatch,,These have url_match AND program_html — agent might pass one but fail the other,-,
656,Agent,No,Form Content Mismatch,,These have url_match AND program_html — agent might pass one but fail the other,-,
657,Agent,No,Form Content Mismatch,,These have url_match AND program_html — agent might pass one but fail the other,-,
689,Agent,No,Form Content Mismatch,,Coupon request — likely needs specific keywords the evaluator checks for,-,
792,Pipeline,No,"MCP makes ""unachievable"" task achievable",,"Task marked unachievable: ""website doesn't support sorting by rating + too many products."" But agent used MCP to query all 500 products, fetch reviews for each, calculate ratings, and identify highest-rated product ($9.00 eyelashes, 5.0 stars). Began purchase but truncated at step 10. Agent correctly solved the task but evaluation expected it to declare impossibility.",,
793,Pipeline,No,"MCP makes ""unachievable"" task achievable",,"Same as 792. Task: buy highest-rated Men's clothing ($50-$129.99). Agent used MCP to retrieve all 500 products, fetched reviews for each, found ""Eddie Bauer Stratuslite Down Snap Mock"" (5.0 stars, $90.30). Started checkout. Evaluation expected ""unachievable"" declaration.",,
794,Agent,No,Unachievable task not recognized,Adjust prompt?,"Task: change delivery address for most recent order (unachievable — can't modify shipping after order placed). Agent found order via MCP, then spent 8 steps trying to log into admin panel with wrong credentials (""admin123"", ""admin1234""). Never recognized impossibility or submitted answer.",,
795,Agent,No,Unachievable task not recognized,Adjust prompt?,"Same as 794. Task: change delivery address to Pittsburgh. Agent found order via MCP, then got stuck in admin login loop with wrong passwords. Never reported ""shipping address cannot be changed after order is placed.""",,
796,Agent,No,Unachievable task not recognized,Adjust prompt?,"Same pattern as 794/795. Task: change delivery address to San Francisco. Agent used MCP successfully for order lookup, then burned all steps on failed admin authentication. Eventually logged in at step 8 but ran out of steps navigating admin. Never recognized unachievability.",,
797,Agent,No,Unachievable task not recognized,Adjust prompt?,"Same pattern. Task: change delivery address to Cambridge. Agent queried orders via MCP, then entered admin login loop with ""admin123"" credentials. Repeated same failed login 8 times without adapting. Never submitted unachievable reason.",,
798,Agent,No,Unachievable task not recognized,Adjust prompt?,"Same pattern. Task: change delivery address to Cambridge MA. Agent found order via MCP, then got stuck navigating admin panel — kept being redirected to ""My Account"" page instead of order view. Never recognized task as impossible.",,
